"","Pern","Aul","Myt","TideHeight"
"1",2.62629699337982,2.62629699337982,0,250
"2",2.34520787991171,2.34520787991171,0,240
"3",1.70970082853022,1.70970082853022,0,230
"4",1.55250005161237,1.55250005161237,0,220
"5",1.34450448407296,1.34450448407296,0,210
"6",0.776250025806185,0.776250025806185,0,200
"7",0.767947647788305,0.767947647788305,0,190
"8",0.438529009653515,0.438529009653515,0,180
"9",0.375533808099405,0.375533808099405,0,170
"10",0.375533808099405,0.375533808099405,0,160
"11",0.277350098112615,0.277350098112615,0,150
"12",0.277350098112615,0.277350098112615,0,140
"13",0.277350098112615,0.277350098112615,0,130
"14",0,0,0,120
"15",0,0,0,110
"16",0,0,0,100
"17",0,0,0,90
"18",0,0,0,80
"19",0,0,0,70
"20",0,0,0,60
"21",0,0,0,50
