"","Pern","Aul","Myt","TideHeight"
"1",0,0,0,50
"2",0,0,0,60
"3",0,0,0,70
"4",0,0,0,80
"5",0.0769230769230769,0.0769230769230769,0,90
"6",0.538461538461538,0.615384615384615,0,100
"7",0.923076923076923,1.07692307692308,0,110
"8",1.46153846153846,1.61538461538462,0,120
"9",2.69230769230769,2.84615384615385,0.153846153846154,130
"10",4.46153846153846,4.76923076923077,0.230769230769231,140
"11",7.69230769230769,8.23076923076923,0.692307692307692,150
"12",15.6153846153846,16.3076923076923,2.15384615384615,160
"13",23.7692307692308,24.7692307692308,3.53846153846154,170
"14",29.4615384615385,30.6923076923077,4.69230769230769,180
"15",33.6153846153846,34.8461538461538,6.15384615384615,190
"16",35.5384615384615,37.2307692307692,6.84615384615385,200
"17",36.6923076923077,38.4615384615385,6.84615384615385,210
"18",37.1538461538462,39.2307692307692,7.15384615384615,220
"19",37.6923076923077,39.7692307692308,7.38461538461539,230
"20",38.7692307692308,40.6923076923077,7.46153846153846,240
"21",39.3846153846154,41,7.76923076923077,250
