"","Pern","Aul","Myt","TideHeight"
"1",9.57025305776935,10.4482853457717,5.32531448451398,250
"2",9.28398124148836,10.3632734161285,4.77171151362179,240
"3",9.3575692657924,10.2563301278921,4.82249004731065,230
"4",9.20910920272381,10.1829419959218,4.75825867739719,220
"5",9.00356054925509,10.0963308897786,4.70542512861757,210
"6",8.94068774960279,10.1665615799529,4.70542512861757,200
"7",8.89324145572038,9.61635892499645,4.61602559651615,190
"8",8.70455230148172,9.15045185937663,3.92395666355222,180
"9",7.31612199362757,7.73685817105202,3.43063124938119,170
"10",6.41012820384613,6.89667329689486,2.30384294336491,160
"11",5.05609558494522,5.19861914604648,0.85485041426511,150
"12",2.36697361678666,2.68184781304005,0.438529009653515,140
"13",1.54836555678428,1.77229389239642,0.375533808099405,130
"14",1.39136531360295,1.38675049056307,0,120
"15",1.18754217199071,1.25575597825496,0,110
"16",0.967417922046845,0.960768922830523,0,100
"17",0.277350098112615,0.277350098112615,0,90
"18",0,0,0,80
"19",0,0,0,70
"20",0,0,0,60
"21",0,0,0,50
