"","Pern","Aul","Myt","TideHeight"
"1",7.40928038998632,7.24037823066426,1.9315199276138,250
"2",6.85565460040104,6.73776193534885,1.75776664826239,240
"3",6.53393508479444,6.4609279320845,1.80810142669895,230
"4",6.51428410770496,6.37100805130111,1.80810142669895,220
"5",6.71393499200901,6.32658209664911,1.66410058867569,210
"6",6.4658868152553,5.86711828098573,1.66410058867569,200
"7",6.30526845236666,5.97966640009376,1.66024403519792,190
"8",5.86165286919776,5.26234811584218,1.44115338424578,180
"9",4.91856764640964,4.53476598779943,1.01273936708367,170
"10",3.81125189742702,3.75363072101447,0.650443635587991,160
"11",2.7942248133771,2.56954550505806,0.375533808099405,150
"12",1.45002210416397,1.44559454541846,0,140
"13",0.767947647788304,0.85485041426511,0,130
"14",0.767947647788305,0.776250025806185,0,120
"15",0.630425171956115,0.630425171956115,0,110
"16",0.599144689515278,0.599144689515278,0,100
"17",0.277350098112615,0.277350098112615,0,90
"18",0,0,0,80
"19",0,0,0,70
"20",0,0,0,60
"21",0,0,0,50
