"","Pern","Aul","Myt","TideHeight"
"1",2.30769230769231,2.30769230769231,0,250
"2",2,2,0,240
"3",1.38461538461538,1.38461538461538,0,230
"4",1.07692307692308,1.07692307692308,0,220
"5",0.846153846153846,0.846153846153846,0,210
"6",0.461538461538462,0.461538461538462,0,200
"7",0.384615384615385,0.384615384615385,0,190
"8",0.230769230769231,0.230769230769231,0,180
"9",0.153846153846154,0.153846153846154,0,170
"10",0.153846153846154,0.153846153846154,0,160
"11",0.0769230769230769,0.0769230769230769,0,150
"12",0.0769230769230769,0.0769230769230769,0,140
"13",0.0769230769230769,0.0769230769230769,0,130
"14",0,0,0,120
"15",0,0,0,110
"16",0,0,0,100
"17",0,0,0,90
"18",0,0,0,80
"19",0,0,0,70
"20",0,0,0,60
"21",0,0,0,50
